RT @robcosta69: Piano scope https://t.co/gAMHAiP3Vk,neutral,"Sentiment(polarity=0.0, subjectivity=0.0)"
https://t.co/AU7dzIP48W TESTIMONI NYATA &gt; Hasil Pemakaian Obat Pembesar Penis Herbal HAMMER OF THOR. ORDER &gt; WA:... https://t.co/TJHzshaOxf,neutral,"Sentiment(polarity=0.0, subjectivity=0.0)"
https://t.co/YzDN3Q3VQt TESTIMONI NYATA &gt; Hasil Pemakaian Obat Pembesar Penis Herbal HAMMER OF THOR. ORDER &gt; WA: 0821-2909-0606,neutral,"Sentiment(polarity=0.0, subjectivity=0.0)"
Khasiat Obat herbal Hammer of Thor Mampu Merubah Kehidupan Seks Anda Menjadi Lebih Baik. Order.. WA:082129090606 https://t.co/5nld2pZ2pm,neutral,"Sentiment(polarity=0.0, subjectivity=0.0)"
RT @auroraagene: thor and my mom surprised me with 18 roses for an early 18th birthday present 😩❤️🌹🥀 https://t.co/CLZRRnBi5l,neutral,"Sentiment(polarity=0.06666666666666667, subjectivity=0.39999999999999997)"
"RT @BatmanResist: @Thor_ofMight 💥#FireSarah 💥#FireHuckabee
💥#FireSarah 💥#FireHuckabee
💥#FireSarah 💥#FireHuckabee
💥#FireSarah

Condescension…",neutral,"Sentiment(polarity=0.0, subjectivity=0.0)"
"Stigma masyarakat masih aja sama kalo yg gondrong itu menjurus ke arah kejahatan, mungkin mereka blm nonton Rambo, WiroSableng, atau Thor~",neutral,"Sentiment(polarity=0.0, subjectivity=0.0)"
"@_angrygiraffes thor baf ami sini, humayoon aidoh kam koreh",neutral,"Sentiment(polarity=0.0, subjectivity=0.0)"
@YungQ400 @JackedYoTweets @shadesof666 Damn 😂😂,neutral,"Sentiment(polarity=0.0, subjectivity=0.0)"
"RT @ComicBook: New #ThorRagnarok footage teases a new Thor v Loki scene:
https://t.co/h99EsKqci4 https://t.co/n2oT7svzWl",good,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)"
@MolinasYamila Genial q terminarán bien..igual por seguirte la corriente tambien la lige yo 😖😖,neutral,"Sentiment(polarity=0.0, subjectivity=0.0)"
RT @stacykstewart2: Don't worry. I didn't forget #AssWednesday 🍑@AssPlanet @AssReFocus @AssRetweeter @AssStar_0_ @goodstuffpage @DrRXM @Tho…,neutral,"Sentiment(polarity=0.0, subjectivity=0.0)"
RT @TheCountessRyan: bless Taika Waititi for turning Thor into an idiot who doesn't know he's an idiot https://t.co/DN8ZXcA9e5,worst,"Sentiment(polarity=-0.8, subjectivity=0.8)"
RT @CatWomanResists: @BatmanResist @Moondragon_1 @2HawkEye2017 @1spiderman2017 @WarMachine_2017 @lfkraus @Batgirl_resists @ItHasBegun2016 @…,neutral,"Sentiment(polarity=0.0, subjectivity=0.0)"
RT @KnightBiologist: @12thDoctor2017 @AgentCarter_SSR @lfkraus @HouseGOP @SenateGOP @2HawkEye2017 @BatmanResist @Scully2017 @trashpanda2017…,neutral,"Sentiment(polarity=0.0, subjectivity=0.0)"
